Source Selection Information - See FAR 2.101 and 3.104

,LOCATION,ICAO,COUNTRY/STATE,VENDOR NAME,REFUELING OPERATOR NAME,REFUELING OPERATOR ADDR,REFUELING OPERATOR PHONE,CONTRACT/SOLICIT NO/PR NO,CONTRACT PERIOD,LINE ITEM,PURCHASE PROGRAM,PRODUCT,ADDITIVES,MODE ID,QUANTITY,AWARD PRICE,TOTAL DOLLAR VALUE,
,FAIRBANKS INTERNATIONAL AIRPORT,PAFA,AK,EASTERN AVIATION FUELS  INC.,EVERTS AIR FUEL,6302 OLD AIRPORT RD  FAIRBANKS  AK 99709,907-450-2381,SPE60722D0102,09/01/2022 - 03/31/2026,0001,23W,TURBINE FUELAVIATION JAA,,AIR,001380000,2.633429,3634132.02,
,BIRMINGHAM INTL,KBHM,AL,AVFUEL CORP,ATLANTIC AVIATION,4243 EASTLAKE BLVD  BIRMINGHAM  AL 35217,205-849-5520,SPE60723D0108,07/01/2023 - 03/31/2027,0003,23S,TURBINE FUELAVIATION JAA,FSII,AIRWF,000819268,4.877240,3995766.66,
,BIRMINGHAM INTL,KBHM,AL,AVFUEL CORP,ATLANTIC AVIATION,4243 EASTLAKE BLVD  BIRMINGHAM  AL 35217,205-849-5520,SPE60723D0108,07/01/2023 - 03/31/2027,0004,23S,FEDERAL EXCISE TAX,FSII,AIRWF,000819268,.218000,178600.42,
,BIRMINGHAM INTL,KBHM,AL,AVFUEL CORP,ATLANTIC AVIATION,4243 EASTLAKE BLVD  BIRMINGHAM  AL 35217,205-849-5520,SPE60723D0108,07/01/2023 - 03/31/2027,0001,23S,TURBINE FUELAVIATION JAA,,AIR,000819268,4.727240,3872876.46,
,BIRMINGHAM INTL,KBHM,AL,AVFUEL CORP,ATLANTIC AVIATION,4243 EASTLAKE BLVD  BIRMINGHAM  AL 35217,205-849-5520,SPE60723D0108,07/01/2023 - 03/31/2027,0002,23S,FEDERAL EXCISE TAX,,AIR,000819268,.218000,178600.42,
,CRAIG FIELD,KSEM,AL,CRAIG FIELD AIRPORT AND INDUSTRIAL,AEROPRO LLC,202 CRAIG INDUSTRIAL PARK SELMA AL 36701,3348752189,SPE60723D0119,09/01/2023 - 03/31/2027,0002,23S,FEDERAL EXCISE TAX,FSII,AIRWF,000200000,.218000,43600.00,
,CRAIG FIELD,KSEM,AL,CRAIG FIELD AIRPORT AND INDUSTRIAL,AEROPRO LLC,202 CRAIG INDUSTRIAL PARK SELMA AL 36701,3348752189,SPE60723D0119,09/01/2023 - 03/31/2027,0001,23S,TURBINE FUELAVIATION JAA,,AIRWF,000200000,4.608883,921776.60,
,DOTHAN RGNL,KDHN,AL,AERO-ONE AVIATION  LLC,AERO-ONE AVIATION,927 FLIGHTLINE DRIVE  DOTHAN  AL 36303,334-983-4541,SPE60723D0048,07/01/2023 - 03/31/2027,0001,23S,TURBINE FUELAVIATION JAA,,AIR,001179560,4.752340,5605670.17,
,DOTHAN RGNL,KDHN,AL,AERO-ONE AVIATION  LLC,AERO-ONE AVIATION,927 FLIGHTLINE DRIVE  DOTHAN  AL 36303,334-983-4541,SPE60723D0048,07/01/2023 - 03/31/2027,0002,23S,FEDERAL EXCISE TAX,,AIR,001179560,.218000,257144.08,
,DOTHAN RGNL,KDHN,AL,AERO-ONE AVIATION  LLC,AERO-ONE AVIATION,927 FLIGHTLINE DRIVE  DOTHAN  AL 36303,334-983-4541,SPE60723D0048,07/01/2023 - 03/31/2027,0004,23S,TURBINE FUELAVIATION JAA,FSII,AIRWF,001179560,4.752340,5605670.17,
,DOTHAN RGNL,KDHN,AL,AERO-ONE AVIATION  LLC,AERO-ONE AVIATION,927 FLIGHTLINE DRIVE  DOTHAN  AL 36303,334-983-4541,SPE60723D0048,07/01/2023 - 03/31/2027,0005,23S,FEDERAL EXCISE TAX,FSII,AIRWF,001179560,.218000,257144.08,
,DOTHAN RGNL,KDHN,AL,AERO-ONE AVIATION  LLC,AERO-ONE AVIATION,927 FLIGHTLINE DRIVE  DOTHAN  AL 36303,334-983-4541,SPE60723D0048,07/01/2023 - 03/31/2027,0006,23S,OVERTIME FEE / CALL OUT FEE,FSII,AIRWF,000000100,93.000000,9300.00,
,DOTHAN RGNL,KDHN,AL,AERO-ONE AVIATION  LLC,AERO-ONE AVIATION,927 FLIGHTLINE DRIVE  DOTHAN  AL 36303,334-983-4541,SPE60723D0048,07/01/2023 - 03/31/2027,0008,23S,Rapid Refueling,FSII,AIRWF,001179560,.100000,117956.00,
,DOTHAN RGNL,KDHN,AL,AERO-ONE AVIATION  LLC,AERO-ONE AVIATION,927 FLIGHTLINE DRIVE  DOTHAN  AL 36303,334-983-4541,SPE60723D0048,07/01/2023 - 03/31/2027,0003,23S,OVERTIME FEE / CALL OUT FEE,,AIR,000000100,93.000000,9300.00,
,DOTHAN RGNL,KDHN,AL,AERO-ONE AVIATION  LLC,AERO-ONE AVIATION,927 FLIGHTLINE DRIVE  DOTHAN  AL 36303,334-983-4541,SPE60723D0048,07/01/2023 - 03/31/2027,0007,23S,Rapid Refueling,,AIR,001179560,.100000,117956.00,
,FLORALA MUNI,K0J4,AL,SUNSHINE AERO INDUSTRIES INC,SUNSHINE AERO INDUSTRIES,27706 SMYNRA RD FLORALA ALABAMA 36442,850-259-0302,SPE60723D0011,07/01/2023 - 03/31/2027,0004,23S,FEDERAL EXCISE TAX,FSII,AIRWF,002297556,.218000,500867.21,
,FLORALA MUNI,K0J4,AL,SUNSHINE AERO INDUSTRIES INC,SUNSHINE AERO INDUSTRIES,27706 SMYNRA RD FLORALA ALABAMA 36442,850-259-0302,SPE60723D0011,07/01/2023 - 03/31/2027,0001,23S,TURBINE FUELAVIATION JAA,,AIR,002297556,5.251003,12064473.45,
,FLORALA MUNI,K0J4,AL,SUNSHINE AERO INDUSTRIES INC,SUNSHINE AERO INDUSTRIES,27706 SMYNRA RD FLORALA ALABAMA 36442,850-259-0302,SPE60723D0011,07/01/2023 - 03/31/2027,0003,23S,TURBINE FUELAVIATION JAA,FSII,AIRWF,002297556,5.251003,12064473.45,
,FLORALA MUNI,K0J4,AL,SUNSHINE AERO INDUSTRIES INC,SUNSHINE AERO INDUSTRIES,27706 SMYNRA RD FLORALA ALABAMA 36442,850-259-0302,SPE60723D0011,07/01/2023 - 03/31/2027,0002,23S,FEDERAL EXCISE TAX,,AIR,002297556,.218000,500867.21,
,GENEVA MUNICIPAL AIRPORT,K33J,AL,EASTERN AVIATION FUELS  INC.,KACHEMAK BAY FLYING SVC,304 AIRPORT RD GENEVA AL 36340,3342486150,SPE60724D0019,09/25/2024 - 03/31/2027,0003,23S,OVERTIME FEE / CALL OUT FEE,FSII,AIRWF,000000100,75.000000,7500.00,
,GENEVA MUNICIPAL AIRPORT,K33J,AL,EASTERN AVIATION FUELS  INC.,KACHEMAK BAY FLYING SVC,304 AIRPORT RD GENEVA AL 36340,3342486150,SPE60724D0019,09/25/2024 - 03/31/2027,0001,23S,TURBINE FUELAVIATION JAA,FSII,AIRWF,000150000,5.182129,777319.35,
,GENEVA MUNICIPAL AIRPORT,K33J,AL,EASTERN AVIATION FUELS  INC.,KACHEMAK BAY FLYING SVC,304 AIRPORT RD GENEVA AL 36340,3342486150,SPE60724D0019,09/25/2024 - 03/31/2027,0002,23S,FEDERAL EXCISE TAX,FSII,AIRWF,000150000,.218000,32700.00,
,HUNTSVILLE INTL CARL T JONES FLD,KHSV,AL,SIGNATURE FLIGHT SUPPORT LLC,SIGNATURE FLIGHT SUPPORT,2000 HOUSTON GOODSON WAY  HUNTSVILLE  AL 35824,256-772-9341,SPE60723D0056,07/01/2023 - 03/31/2027,0002,23S,FEDERAL EXCISE TAX,,AIR,001952072,.218000,425551.70,
,HUNTSVILLE INTL CARL T JONES FLD,KHSV,AL,SIGNATURE FLIGHT SUPPORT LLC,SIGNATURE FLIGHT SUPPORT,2000 HOUSTON GOODSON WAY  HUNTSVILLE  AL 35824,256-772-9341,SPE60723D0056,07/01/2023 - 03/31/2027,0004,23S,FEDERAL EXCISE TAX,FSII,AIRWF,001952072,.218000,425551.70,
,HUNTSVILLE INTL CARL T JONES FLD,KHSV,AL,SIGNATURE FLIGHT SUPPORT LLC,SIGNATURE FLIGHT SUPPORT,2000 HOUSTON GOODSON WAY  HUNTSVILLE  AL 35824,256-772-9341,SPE60723D0056,07/01/2023 - 03/31/2027,0003,23S,TURBINE FUELAVIATION JAA,FSII,AIRWF,001952072,4.657613,9091995.92,
,HUNTSVILLE INTL CARL T JONES FLD,KHSV,AL,SIGNATURE FLIGHT SUPPORT LLC,SIGNATURE FLIGHT SUPPORT,2000 HOUSTON GOODSON WAY  HUNTSVILLE  AL 35824,256-772-9341,SPE60723D0056,07/01/2023 - 03/31/2027,0001,23S,TURBINE FUELAVIATION JAA,,AIR,001952072,4.567613,8916309.44,
,JACK EDWARDS REGIONAL,KJKA,AL,BSA AIRPORT HOLDINGS  LLC,BSA AIRPORT HOLDINGS  LLC,3190 AIRPORT DRIVE  GULF SHORES  AL 36542,251-968-5200,SPE60723D0058,07/01/2023 - 03/31/2027,0001,23S,TURBINE FUELAVIATION JAA,FSII,AIRWF,000641216,5.170905,3315667.02,
,JACK EDWARDS REGIONAL,KJKA,AL,BSA AIRPORT HOLDINGS  LLC,BSA AIRPORT HOLDINGS  LLC,3190 AIRPORT DRIVE  GULF SHORES  AL 36542,251-968-5200,SPE60723D0058,07/01/2023 - 03/31/2027,0002,23S,FEDERAL EXCISE TAX,FSII,AIRWF,000641216,.218000,139785.09,
,JACK EDWARDS REGIONAL,KJKA,AL,BSA AIRPORT HOLDINGS  LLC,BSA AIRPORT HOLDINGS  LLC,3190 AIRPORT DRIVE  GULF SHORES  AL 36542,251-968-5200,SPE60723D0058,07/01/2023 - 03/31/2027,0003,23S,OVERTIME FEE / CALL OUT FEE,FSII,AIRWF,000000100,125.000000,12500.00,
,MOBILE DOWNTOWN,KBFM,AL,SIGNATURE FLIGHT SUPPORT LLC,SIGNATURE FLIGHT SUPPORT,2495 MICHIGAN AVE  MOBILE  AL 36615,251-433-2800,SPE60723D0025,07/01/2023 - 03/31/2027,0003,23S,TURBINE FUELAVIATION JAA,FSII,AIRWF,000345072,4.718983,1628388.90,
,MOBILE DOWNTOWN,KBFM,AL,SIGNATURE FLIGHT SUPPORT LLC,SIGNATURE FLIGHT SUPPORT,2495 MICHIGAN AVE  MOBILE  AL 36615,251-433-2800,SPE60723D0025,07/01/2023 - 03/31/2027,0004,23S,FEDERAL EXCISE TAX,FSII,AIRWF,000345072,.218000,75225.70,
,MOBILE DOWNTOWN,KBFM,AL,SIGNATURE FLIGHT SUPPORT LLC,SIGNATURE FLIGHT SUPPORT,2495 MICHIGAN AVE  MOBILE  AL 36615,251-433-2800,SPE60723D0025,07/01/2023 - 03/31/2027,0002,23S,FEDERAL EXCISE TAX,,AIR,000345072,.218000,75225.70,
,MOBILE DOWNTOWN,KBFM,AL,SIGNATURE FLIGHT SUPPORT LLC,SIGNATURE FLIGHT SUPPORT,2495 MICHIGAN AVE  MOBILE  AL 36615,251-433-2800,SPE60723D0025,07/01/2023 - 03/31/2027,0001,23S,TURBINE FUELAVIATION JAA,,AIR,000345072,4.638983,1600783.14,
,MOBILE RGNL,KMOB,AL,SIGNATURE FLIGHT SUPPORT LLC,SIGNTURE FLIGHT SUPPORT,371 FLAVE PIERCE ROAD  MOBILE  AL 36608,251-633-5000,SPE60723D0064,07/01/2023 - 03/31/2027,0001,23S,TURBINE FUELAVIATION JAA,,AIR,001547432,4.618983,7147562.10,
,MOBILE RGNL,KMOB,AL,SIGNATURE FLIGHT SUPPORT LLC,SIGNTURE FLIGHT SUPPORT,371 FLAVE PIERCE ROAD  MOBILE  AL 36608,251-633-5000,SPE60723D0064,07/01/2023 - 03/31/2027,0003,23S,TURBINE FUELAVIATION JAA,FSII,AIRWF,001547432,4.698983,7271356.66,
,MOBILE RGNL,KMOB,AL,SIGNATURE FLIGHT SUPPORT LLC,SIGNTURE FLIGHT SUPPORT,371 FLAVE PIERCE ROAD  MOBILE  AL 36608,251-633-5000,SPE60723D0064,07/01/2023 - 03/31/2027,0004,23S,FEDERAL EXCISE TAX,FSII,AIRWF,001547432,.218000,337340.18,
,MOBILE RGNL,KMOB,AL,SIGNATURE FLIGHT SUPPORT LLC,SIGNTURE FLIGHT SUPPORT,371 FLAVE PIERCE ROAD  MOBILE  AL 36608,251-633-5000,SPE60723D0064,07/01/2023 - 03/31/2027,0002,23S,FEDERAL EXCISE TAX,,AIR,001547432,.218000,337340.18,
,MONROE CO,KMVC,AL,EASTERN AVIATION FUELS  INC.,MONROEVILLE AVIATION,225 AIRPORT ROAD MONROEVILLE ALABAMA 36460,251-575-4235,SPE60723D0106,07/01/2023 - 03/31/2027,0003,23S,OVERTIME FEE / CALL OUT FEE,,AIR,000000100,50.000000,5000.00,
,MONROE CO,KMVC,AL,EASTERN AVIATION FUELS  INC.,MONROEVILLE AVIATION,225 AIRPORT ROAD MONROEVILLE ALABAMA 36460,251-575-4235,SPE60723D0106,07/01/2023 - 03/31/2027,0005,23S,FEDERAL EXCISE TAX,FSII,AIRWF,000852724,.218000,185893.83,
,MONROE CO,KMVC,AL,EASTERN AVIATION FUELS  INC.,MONROEVILLE AVIATION,225 AIRPORT ROAD MONROEVILLE ALABAMA 36460,251-575-4235,SPE60723D0106,07/01/2023 - 03/31/2027,0002,23S,FEDERAL EXCISE TAX,,AIR,000852724,.218000,185893.83,
,MONROE CO,KMVC,AL,EASTERN AVIATION FUELS  INC.,MONROEVILLE AVIATION,225 AIRPORT ROAD MONROEVILLE ALABAMA 36460,251-575-4235,SPE60723D0106,07/01/2023 - 03/31/2027,0006,23S,OVERTIME FEE / CALL OUT FEE,FSII,AIRWF,000000100,50.000000,5000.00,
,MONROE CO,KMVC,AL,EASTERN AVIATION FUELS  INC.,MONROEVILLE AVIATION,225 AIRPORT ROAD MONROEVILLE ALABAMA 36460,251-575-4235,SPE60723D0106,07/01/2023 - 03/31/2027,0001,23S,TURBINE FUELAVIATION JAA,,AIR,000852724,4.827001,4116099.60,
,MONROE CO,KMVC,AL,EASTERN AVIATION FUELS  INC.,MONROEVILLE AVIATION,225 AIRPORT ROAD MONROEVILLE ALABAMA 36460,251-575-4235,SPE60723D0106,07/01/2023 - 03/31/2027,0004,23S,TURBINE FUELAVIATION JAA,FSII,AIRWF,000852724,4.827001,4116099.60,
,MONTGOMERY RGNL/DANNELLY FIELD,KMGM,AL,AVFUEL CORP,MONTGOMERY AVIATION CORP,4525 SELMA HWY.  MONTGOMERY  AL 36108,334-288-7334,SPE60723D0063,07/01/2023 - 03/31/2027,0004,23S,TURBINE FUELAVIATION JAA,FSII,AIRWF,001095048,5.128440,5615887.97,
,MONTGOMERY RGNL/DANNELLY FIELD,KMGM,AL,AVFUEL CORP,MONTGOMERY AVIATION CORP,4525 SELMA HWY.  MONTGOMERY  AL 36108,334-288-7334,SPE60723D0063,07/01/2023 - 03/31/2027,0001,23S,TURBINE FUELAVIATION JAA,,AIR,001095048,5.028440,5506383.17,
,SOUTH ALABAMA RGNL AT BILL BENTON F,K79J,AL,SOUTH ALABAMA REGIONAL AIRPORT,SOUTH AL REGIONAL AIRPORT,21861 BILL BENTON LANE  ANDALUSIA  AL 36421,334-222-6598,SPE60723D0046,07/01/2023 - 03/31/2027,0002,23S,FEDERAL EXCISE TAX,,AIR,003856400,.218000,840695.20,
,SOUTH ALABAMA RGNL AT BILL BENTON F,K79J,AL,SOUTH ALABAMA REGIONAL AIRPORT,SOUTH AL REGIONAL AIRPORT,21861 BILL BENTON LANE  ANDALUSIA  AL 36421,334-222-6598,SPE60723D0046,07/29/2024 - 03/31/2027,0001,23S,TURBINE FUELAVIATION JAA,,AIR,003856400,4.826740,18613840.14,
,SOUTH ALABAMA RGNL AT BILL BENTON F,K79J,AL,SOUTH ALABAMA REGIONAL AIRPORT,SOUTH AL REGIONAL AIRPORT,21861 BILL BENTON LANE  ANDALUSIA  AL 36421,334-222-6598,SPE60723D0046,07/29/2024 - 03/31/2027,0003,23S,TURBINE FUELAVIATION JAA,FSII,AIRWF,003856400,4.826740,18613840.14,
,SOUTH ALABAMA RGNL AT BILL BENTON F,K79J,AL,SOUTH ALABAMA REGIONAL AIRPORT,SOUTH AL REGIONAL AIRPORT,21861 BILL BENTON LANE  ANDALUSIA  AL 36421,334-222-6598,SPE60723D0046,07/01/2023 - 03/31/2027,0004,23S,FEDERAL EXCISE TAX,FSII,AIRWF,003856400,.218000,840695.20,
,TROY MUNI,KTOI,AL,PIKE AVIATION  INC.,PIKE AVIATION INC,TROY MUNICIPAL AIRPORT PO BOX 707 TROY AL 36081,334-566-1563,SPE60723D0013,07/01/2023 - 03/31/2027,0006,23S,Rapid Refueling,FSII,AIRWF,000100000,.100000,10000.00,
,TROY MUNI,KTOI,AL,PIKE AVIATION  INC.,PIKE AVIATION INC,TROY MUNICIPAL AIRPORT PO BOX 707 TROY AL 36081,334-566-1563,SPE60723D0013,07/01/2023 - 03/31/2027,0005,23S,Rapid Refueling,,AIR,000100000,.100000,10000.00,
,TROY MUNI,KTOI,AL,PIKE AVIATION  INC.,PIKE AVIATION INC,TROY MUNICIPAL AIRPORT PO BOX 707 TROY AL 36081,334-566-1563,SPE60723D0013,07/01/2023 - 03/31/2027,0003,23S,TURBINE FUELAVIATION JAA,FSII,AIRWF,001441608,4.953646,7141215.70,
,TROY MUNI,KTOI,AL,PIKE AVIATION  INC.,PIKE AVIATION INC,TROY MUNICIPAL AIRPORT PO BOX 707 TROY AL 36081,334-566-1563,SPE60723D0013,07/01/2023 - 03/31/2027,0002,23S,FEDERAL EXCISE TAX,,AIR,001441608,.218000,314270.54,
,TROY MUNI,KTOI,AL,PIKE AVIATION  INC.,PIKE AVIATION INC,TROY MUNICIPAL AIRPORT PO BOX 707 TROY AL 36081,334-566-1563,SPE60723D0013,07/01/2023 - 03/31/2027,0001,23S,TURBINE FUELAVIATION JAA,,AIR,001441608,4.923646,7097967.46,
,TROY MUNI,KTOI,AL,PIKE AVIATION  INC.,PIKE AVIATION INC,TROY MUNICIPAL AIRPORT PO BOX 707 TROY AL 36081,334-566-1563,SPE60723D0013,07/01/2023 - 03/31/2027,0004,23S,FEDERAL EXCISE TAX,FSII,AIRWF,001441608,.218000,314270.54,
,TUSCALOOSA RGNL,KTCL,AL,HAWTHORNE GLOBAL AVIATION SERVICES LLC,HAWTHORNE GLOBAL AVIATION,4800 CARTER DRIVE  TUSCALOOSA  AL 35401,205-349-3991,SPE60723D0057,07/01/2023 - 03/31/2027,0001,23S,TURBINE FUELAVIATION JAA,,AIR,000260608,4.848431,1263539.91,
,TUSCALOOSA RGNL,KTCL,AL,HAWTHORNE GLOBAL AVIATION SERVICES LLC,HAWTHORNE GLOBAL AVIATION,4800 CARTER DRIVE  TUSCALOOSA  AL 35401,205-349-3991,SPE60723D0057,07/01/2023 - 03/31/2027,0006,23S,OVERTIME FEE / CALL OUT FEE,FSII,AIRWF,000000100,75.000000,7500.00,
,TUSCALOOSA RGNL,KTCL,AL,HAWTHORNE GLOBAL AVIATION SERVICES LLC,HAWTHORNE GLOBAL AVIATION,4800 CARTER DRIVE  TUSCALOOSA  AL 35401,205-349-3991,SPE60723D0057,07/01/2023 - 03/31/2027,0004,23S,TURBINE FUELAVIATION JAA,FSII,AIRWF,000260608,4.938431,1286994.63,
,TUSCALOOSA RGNL,KTCL,AL,HAWTHORNE GLOBAL AVIATION SERVICES LLC,HAWTHORNE GLOBAL AVIATION,4800 CARTER DRIVE  TUSCALOOSA  AL 35401,205-349-3991,SPE60723D0057,07/01/2023 - 03/31/2027,0005,23S,FEDERAL EXCISE TAX,FSII,AIRWF,000260608,.218000,56812.54,
,TUSCALOOSA RGNL,KTCL,AL,HAWTHORNE GLOBAL AVIATION SERVICES LLC,HAWTHORNE GLOBAL AVIATION,4800 CARTER DRIVE  TUSCALOOSA  AL 35401,205-349-3991,SPE60723D0057,07/01/2023 - 03/31/2027,0002,23S,FEDERAL EXCISE TAX,,AIR,000260608,.218000,56812.54,
,TUSCALOOSA RGNL,KTCL,AL,HAWTHORNE GLOBAL AVIATION SERVICES LLC,HAWTHORNE GLOBAL AVIATION,4800 CARTER DRIVE  TUSCALOOSA  AL 35401,205-349-3991,SPE60723D0057,07/01/2023 - 03/31/2027,0003,23S,OVERTIME FEE / CALL OUT FEE,,AIR,000000100,75.000000,7500.00,
,BILL & HILLARY CLINTON NATIONAL,KLIT,AR,SIGNATURE FLIGHT SUPPORT LLC,SIGNATURE FLIGHT SUPPORT,2401 CRISP DRIVE LITTLE ROCK ARKANSAS 72202,501-374-6582,SPE60723D0102,07/01/2023 - 03/31/2027,0001,23S,TURBINE FUELAVIATION JAA,,AIR,002174744,3.954701,8600462.27,
,BILL & HILLARY CLINTON NATIONAL,KLIT,AR,SIGNATURE FLIGHT SUPPORT LLC,SIGNATURE FLIGHT SUPPORT,2401 CRISP DRIVE LITTLE ROCK ARKANSAS 72202,501-374-6582,SPE60723D0102,07/01/2023 - 03/31/2027,0002,23S,FEDERAL EXCISE TAX,,AIR,002174744,.218000,474094.19,
,BILL & HILLARY CLINTON NATIONAL,KLIT,AR,SIGNATURE FLIGHT SUPPORT LLC,SIGNATURE FLIGHT SUPPORT,2401 CRISP DRIVE LITTLE ROCK ARKANSAS 72202,501-374-6582,SPE60723D0102,07/01/2023 - 03/31/2027,0003,23S,TURBINE FUELAVIATION JAA,FSII,AIRWF,002174744,4.004701,8709199.47,
,BILL & HILLARY CLINTON NATIONAL,KLIT,AR,SIGNATURE FLIGHT SUPPORT LLC,SIGNATURE FLIGHT SUPPORT,2401 CRISP DRIVE LITTLE ROCK ARKANSAS 72202,501-374-6582,SPE60723D0102,07/01/2023 - 03/31/2027,0004,23S,FEDERAL EXCISE TAX,FSII,AIRWF,002174744,.218000,474094.19,
,FORT SMITH RGNL,KFSM,AR,SIGNATURE FLIGHT SUPPORT LLC,SIGNATURE FLIGHT SUPPORT,5300 AIRPORT BLVD FORT SMITH ARKANSAS 72903,479-646-1611,SPE60723D0016,07/01/2023 - 03/31/2027,0003,23S,TURBINE FUELAVIATION JAA,FSII,AIRWF,001358324,4.353298,5913189.15,
,FORT SMITH RGNL,KFSM,AR,SIGNATURE FLIGHT SUPPORT LLC,SIGNATURE FLIGHT SUPPORT,5300 AIRPORT BLVD FORT SMITH ARKANSAS 72903,479-646-1611,SPE60723D0016,07/01/2023 - 03/31/2027,0002,23S,FEDERAL EXCISE TAX,,AIR,001358324,.218000,296114.63,
,FORT SMITH RGNL,KFSM,AR,SIGNATURE FLIGHT SUPPORT LLC,SIGNATURE FLIGHT SUPPORT,5300 AIRPORT BLVD FORT SMITH ARKANSAS 72903,479-646-1611,SPE60723D0016,07/01/2023 - 03/31/2027,0004,23S,FEDERAL EXCISE TAX,FSII,AIRWF,001358324,.218000,296114.63,
,FORT SMITH RGNL,KFSM,AR,SIGNATURE FLIGHT SUPPORT LLC,SIGNATURE FLIGHT SUPPORT,5300 AIRPORT BLVD FORT SMITH ARKANSAS 72903,479-646-1611,SPE60723D0016,07/01/2023 - 03/31/2027,0001,23S,TURBINE FUELAVIATION JAA,,AIR,001358324,4.303298,5845272.95,
,NORTHWEST ARKANSAS RGNL,KXNA,AR,REGIONAL JET CENTER  INC.,REGIONAL JET CENTER,12344 TOWER DR BRENTONVILLE ARKANSAS 72713,4792051100,SPE60724D0005,12/01/2023 - 03/31/2027,0001,23S,TURBINE FUELAVIATION JAA,FSII,AIRWF,002151828,4.283214,9216739.82,
,NORTHWEST ARKANSAS RGNL,KXNA,AR,REGIONAL JET CENTER  INC.,REGIONAL JET CENTER,12344 TOWER DR BRENTONVILLE ARKANSAS 72713,4792051100,SPE60724D0005,12/01/2023 - 03/31/2027,0002,23S,FEDERAL EXCISE TAX,FSII,AIRWF,002151828,.218000,469098.50,
